id,x,y
551,301,324
552,21,170
553,326,214
554,281,159
555,281,251
556,109,67
557,25,232
558,59,56
559,92,180
560,122,284
561,322,48
562,277,308
563,290,323
564,167,93
565,250,59
566,106,29
567,274,341
568,249,302
569,118,239
570,111,337
571,252,109
572,56,55
573,80,266
574,252,134
575,104,67
576,94,346
577,141,280
578,325,161
579,322,203
580,96,274
581,158,315
582,199,98
583,134,132
584,280,98
585,254,187
586,329,269
587,297,21
588,100,150
589,110,264
590,266,330
591,171,150
592,322,45
593,72,165
594,344,257
595,184,21
596,119,332
597,257,236
598,277,324
599,332,248
600,329,119
601,225,86
602,232,56
603,291,224
604,53,196
605,315,213
606,322,136
607,181,152
608,141,257
609,180,80
610,26,199
611,45,104
612,332,67
613,303,45
614,250,252
615,3,26
616,98,148
617,185,55
618,172,239
619,295,239
620,325,98
621,252,113
622,323,119
623,188,315
624,55,203
625,137,111
626,224,200
627,194,80
628,295,104
629,17,140
630,266,302
631,232,212
632,249,24
633,200,323
634,323,122
635,203,65
636,259,201
637,161,56
638,119,252
639,238,82
640,197,251
641,105,272
642,291,332
643,289,137
644,195,306
645,313,26
646,108,21
647,98,203
648,260,160
649,346,204
650,271,21
651,334,113
652,172,238
653,299,48
654,65,314
655,1,194
656,175,321
657,261,223
658,10,169
659,185,315
660,67,136
661,203,211
662,329,272
663,203,297
664,212,239
665,80,194
666,161,118
667,170,250
668,176,290
669,225,227
670,324,118
671,98,104
672,318,119
673,291,72
674,38,141
675,156,295
676,31,51
677,123,334
678,251,284
679,19,312
680,53,322
681,203,67
682,89,6
683,235,21
684,68,177
685,227,177
686,281,108
687,280,188
688,144,14
689,126,88
690,315,249
691,232,40
692,131,99
693,103,271
694,119,185
695,200,3
696,7,22
697,132,134
698,239,212
699,231,178
700,21,223
701,194,266
702,109,186
703,127,284
704,322,56
705,123,67
706,299,346
707,144,23
708,149,326
709,56,75
710,144,343
711,98,122
712,31,291
713,272,108
714,118,26
715,232,298
716,13,172
717,184,135
718,200,75
719,203,82
720,280,121
721,177,278
722,236,297
723,26,265
724,331,56
725,298,40
726,262,220
727,314,342
728,127,36
729,94,53
730,186,178
731,41,230
732,118,268
733,185,274
734,161,252
735,199,203
736,299,24
737,175,99
738,325,252
739,87,161
740,239,234
741,302,194
742,252,29
743,142,158
744,88,73
745,16,261
746,20,44
747,3,72
748,57,249
749,278,86
750,251,36
751,44,343
752,143,131
753,50,277
754,203,200
755,72,3
756,72,200
757,252,200
758,280,332
759,254,101
760,161,21
761,86,278
762,328,275
763,91,193
764,248,169
765,9,276
766,258,141
767,303,236
768,82,331
769,97,230
770,113,132
771,53,260
772,23,175
773,186,345
774,184,139
775,239,323
776,54,27
777,291,213
778,188,170
779,62,276
780,128,265
781,170,315
782,143,278
783,188,323
784,25,158
785,56,66
786,40,232
787,123,98
788,284,36
789,331,98
790,303,109
791,25,176
792,136,339
793,104,123
794,124,170
795,174,112
796,85,323
797,325,222
798,290,56
799,3,142
800,300,130
801,109,324
802,251,108
803,218,328
804,9,176
805,128,322
806,26,203
807,252,13
808,149,115
809,111,312
810,119,313
811,68,175
812,186,9
813,128,313
814,330,242
815,211,331
816,72,26
817,67,203
818,257,315
819,236,105
820,213,87
821,21,342
822,329,184
823,224,122
824,31,168
825,67,212
826,115,312
827,273,78
828,332,158
829,26,308
830,13,238
831,159,172
832,92,24
833,207,56
834,278,225
835,115,226
836,315,158
837,56,119
838,26,232
839,135,309
840,232,231
841,172,252
842,159,127
843,68,225
844,231,9
845,23,245
846,322,60
847,141,39
848,266,53
849,176,239
850,162,326
851,304,161
852,237,31
853,169,56
854,322,1
855,1,133
856,133,96
857,115,14
858,313,199
859,304,212
860,90,179
861,346,320
862,113,342
863,142,122
864,9,258
865,75,200
866,148,119
867,320,127
868,118,211
869,280,231
870,14,226
871,281,284
872,239,325
873,9,304
874,173,163
875,30,48
876,187,302
877,56,161
878,260,126
879,165,72
880,88,48
881,103,339
882,56,62
883,188,25
884,73,331
885,272,304
886,24,266
887,67,290
888,271,172
889,172,211
890,57,277
891,118,331
892,67,188
893,211,203
894,278,46
895,113,119
896,320,184
897,194,346
898,134,66
899,51,237
900,322,130
901,56,332
902,67,123
903,199,315
904,25,231
905,56,272
906,315,291
907,266,196
908,133,141
909,243,41
910,177,175
911,65,261
912,24,180
913,243,216
914,265,311
915,249,187
916,119,217
917,85,188
918,187,101
919,309,320
920,36,197
921,87,315
922,322,161
923,28,151
924,177,131
925,239,203
926,187,92
927,299,94
928,280,304
929,31,339
930,56,221
931,179,145
932,48,54
933,3,122
934,203,331
935,53,254
936,98,113
937,56,169
938,313,239
939,8,91
940,126,322
941,22,7
942,21,9
943,67,119
944,25,76
945,83,31
946,188,165
947,137,41
948,341,9
949,271,332
950,315,133
951,312,262
952,157,124
953,121,165
954,232,158
955,249,315
956,3,188
957,297,67
958,128,176
959,218,181
960,239,232
961,21,184
962,152,4
963,340,7
964,312,111
965,327,95
966,2,333
967,59,239
968,248,26
969,249,254
970,184,346
971,59,268
972,324,109
973,82,158
974,322,85
975,169,334
976,56,59
977,252,65
978,224,291
979,120,247
980,334,21
981,325,13
982,226,2
983,119,176
984,280,290
985,277,186
986,118,200
987,9,67
988,148,109
989,248,53
990,325,186
991,323,103
992,170,3
993,197,320
994,24,194
995,342,13
996,141,122
997,298,265
998,141,72
999,285,313
1000,22,339
1001,343,44
1002,128,26
1003,178,213
1004,213,246
1005,340,339
1006,334,339
1007,342,56
1008,67,75
1009,277,105
1010,78,218
1011,330,249
1012,25,119
1013,67,186
1014,29,338
1015,291,272
1016,122,128
1017,142,271
1018,119,122
1019,194,101
1020,176,170
1021,159,281
1022,299,187
1023,13,98
1024,103,169
1025,266,242
1026,102,296
1027,257,280
1028,66,56
1029,94,80
1030,59,186
1031,143,227
1032,69,67
1033,239,322
1034,142,31
1035,332,331
1036,313,315
1037,177,225
1038,72,113
1039,324,136
1040,50,314
1041,269,58
1042,277,175
1043,40,280
1044,178,88
1045,346,196
1046,21,332
1047,325,265
1048,342,98
1049,148,50
1050,170,128
1051,141,291
1052,200,67
1053,161,339
1054,9,105
1055,324,22
1056,108,36
1057,119,271
1058,280,252
1059,21,142
1060,94,320
1061,45,122
1062,1,48
1063,136,56
1064,67,109
1065,123,186
1066,115,140
1067,26,122
1068,199,238
1069,227,68
1070,322,323
1071,203,9
1072,200,199
1073,116,149
1074,185,103
1075,115,262
1076,30,9
1077,276,98
1078,341,322
1079,274,21
1080,98,261
1081,142,277
1082,21,239
1083,211,56
1084,80,300
1085,186,59
1086,315,313
1087,196,330
1088,194,180
1089,242,249
1090,257,25
1091,276,9
1092,304,224
1093,204,130
1094,277,57
1095,96,190
1096,345,285
1097,230,307
1098,56,203
1099,204,92
1100,141,199
1101,150,163
1102,247,29
1103,25,104
1104,242,53
1105,186,203
1106,56,122
1107,246,339
1108,223,172
1109,73,48
1110,185,322
1111,50,113
1112,276,236
1113,282,244
1114,31,308
1115,211,272
1116,148,113
1117,211,128
1118,184,281
1119,344,104
1120,338,203
1121,29,118
1122,176,26
1123,55,170
1124,69,26
1125,277,332
1126,338,252
1127,271,25
1128,213,345
1129,304,203
1130,72,232
1131,48,73
1132,127,21
1133,56,238
1134,208,188
1135,312,14
1136,72,56
1137,40,231
1138,98,325
1139,127,281
1140,122,142
1141,319,89
1142,242,266
1143,266,80
1144,328,4
1145,322,128
1146,94,315
1147,21,203
1148,339,129
1149,172,98
1150,48,88
1151,188,56
1152,199,325
1153,317,132
1154,170,304
1155,274,75
1156,248,67
1157,186,45
1158,161,87
1159,291,188
1160,25,148
1161,277,325
1162,86,225
1163,211,13
1164,100,323
1165,246,315
1166,21,105
1167,170,342
1168,226,28
1169,334,132
1170,190,23
1171,322,118
1172,199,239
1173,318,261
1174,188,67
1175,113,271
1176,297,188
1177,264,91
1178,326,28
1179,113,26
1180,339,87
1181,104,186
1182,346,101
1183,236,62
1184,239,122
1185,199,172
1186,67,272
1187,347,129
1188,188,291
1189,127,108
1190,25,252
1191,272,9
1192,233,256
1193,326,116
1194,26,334
1195,239,26
1196,333,149
1197,133,40
1198,197,272
1199,104,200
1200,84,224
1201,223,271
1202,302,24
1203,242,204
1204,188,239
1205,342,211
1206,85,322
1207,125,119
1208,272,211
1209,239,313
1210,45,200
1211,303,322
1212,103,285
1213,5,180
1214,297,322
1215,199,56
1216,196,266
1217,195,4
1218,238,203
1219,142,161
1220,347,168
1221,67,62
1222,315,203
1223,170,268
1224,128,271
1225,111,310
1226,62,142
1227,14,151
1228,313,60
1229,92,94
1230,21,277
1231,48,203
1232,180,48
1233,29,252
1234,40,334
1235,239,119
1236,252,103
1237,104,25
1238,333,343
1239,36,135
1240,257,344
1241,203,170
1242,248,252
1243,303,221
1244,56,9
1245,59,252
1246,327,89
1247,186,62
1248,85,271
1249,161,62
1250,265,67
1251,175,86
1252,272,236
1253,236,88
1254,329,150
1255,99,68
1256,106,169
1257,325,172
1258,156,67
1259,17,310
1260,180,187
1261,119,199
1262,82,118
1263,166,202
1264,95,319
1265,172,29
1266,178,30
1267,332,203
1268,130,300
1269,342,63
1270,113,67
1271,277,55
1272,284,197
1273,324,332
1274,272,285
1275,142,285
1276,131,227
1277,322,246
1278,62,67
1279,204,53
1280,5,204
1281,271,276
1282,338,31
1283,20,2
1284,275,195
1285,1,299
1286,308,21
1287,188,30
1288,55,239
1289,261,123
1290,98,280
1291,161,26
1292,203,186
1293,2,226
1294,242,180
1295,31,200
1296,119,208
1297,297,280
1298,142,104
1299,269,119
1300,346,127
1301,7,38
1302,67,345
1303,271,322
1304,22,277
1305,332,324
1306,82,56
1307,272,297
1308,252,325
1309,155,157
1310,69,25
1311,20,115
1312,133,271
1313,9,128
1314,168,7
1315,236,271
1316,53,191
1317,231,232
1318,19,293
1319,158,339
1320,84,82
1321,53,54
1322,275,78
1323,203,268
1324,144,151
1325,64,171
1326,4,306
1327,237,51
1328,55,56
1329,185,119
1330,13,236
1331,199,128
1332,277,120
1333,297,203
1334,346,272
1335,108,320
1336,178,345
1337,213,272
1338,82,148
1339,221,285
1340,56,334
1341,200,55
1342,56,136
1343,326,162
1344,181,275
1345,56,298
1346,147,95
1347,185,22
1348,212,172
1349,67,9
1350,13,148
1351,54,1
1352,40,271
1353,239,109
1354,304,109
1355,109,158
1356,343,111
1357,271,277
1358,261,313
1359,249,266
1360,236,69
1361,25,72
1362,276,271
1363,306,275
1364,222,118
1365,315,322
1366,112,19
1367,142,9
1368,133,236
1369,9,334
1370,146,50
1371,329,332
1372,268,118
1373,304,257
1374,186,285
1375,169,318
1376,101,187
1377,291,31
1378,20,226
1379,300,346
1380,291,258
1381,148,25
1382,150,329
1383,62,239
1384,142,323
1385,186,67
1386,82,13
1387,94,24
1388,119,109
1389,44,312
1390,276,200
1391,313,98
1392,53,317
1393,26,271
1394,297,9
1395,67,323
1396,168,22
1397,170,290
1398,329,197
1399,226,312
1400,59,261
1401,56,60
1402,232,21
1403,194,204
1404,169,26
1405,30,322
1406,21,119
1407,302,330
1408,237,84
1409,243,167
1410,109,331
1411,175,19
1412,323,3
1413,30,200
1414,67,196
1415,121,206
1416,271,141
1417,308,246
1418,324,301
1419,172,271
1420,324,150
1421,148,229
1422,226,41
1423,297,323
1424,28,326
1425,104,26
1426,116,312
1427,9,85
1428,9,199
1429,92,187
1430,320,300
1431,331,118
1432,21,88
1433,55,277
1434,76,270
1435,218,273
1436,62,323
1437,158,304
1438,69,304
1439,291,7
1440,324,119
1441,17,116
1442,87,246
1443,109,322
1444,108,281
1445,30,73
1446,186,200
1447,249,194
1448,342,172
1449,54,329
1450,25,141
1451,188,26
1452,315,323
1453,25,297
1454,242,158
1455,119,188
1456,108,184
1457,26,176
1458,203,308
1459,342,21
1460,44,111
1461,142,303
1462,138,19
1463,339,148
1464,324,213
1465,285,164
1466,265,331
1467,323,341
1468,299,180
1469,242,80
1470,285,117
1471,252,123
1472,51,83
1473,214,116
1474,252,322
1475,161,258
1476,248,21
1477,56,212
1478,217,119
1479,236,280
1480,116,140
1481,325,59
1482,320,108
1483,186,170
1484,257,272
1485,53,332
1486,295,212
1487,13,223
1488,265,239
1489,334,165
1490,254,330
1491,223,199
1492,21,136
1493,174,19
1494,213,96
1495,9,280
1496,315,98
1497,129,31
1498,251,281
1499,88,164
1500,240,23
1501,325,26
1502,285,277
1503,98,128
1504,224,332
1505,297,200
1506,29,231
1507,130,204
1508,1,88
1509,221,322
1510,98,59
1511,315,128
1512,54,313
1513,164,88
1514,87,213
1515,334,277
1516,272,185
1517,309,281
1518,122,280
1519,331,271
1520,119,280
1521,22,87
1522,119,128
1523,158,82
1524,271,142
1525,323,285
1526,103,136
1527,204,249
1528,227,23
1529,329,106
1530,341,56
1531,226,14
1532,197,36
1533,262,115
1534,334,304
1535,265,223
1536,44,20
1537,272,271
1538,67,200
1539,169,236
1540,149,2
1541,341,274
1542,315,26
1543,56,30
1544,325,239
1545,31,129
1546,130,73
1547,95,89
1548,186,21
1549,325,211
1550,57,80
1551,206,178
1552,322,62
1553,226,116
1554,77,40
1555,31,338
1556,325,200
1557,109,252
1558,67,332
1559,181,195
1560,161,9
1561,88,106
1562,136,304
1563,170,260
1564,130,88
1565,80,92
1566,322,88
1567,53,204
1568,91,110
1569,14,116
1570,188,342
1571,194,249
1572,53,330
1573,67,252
1574,172,118
1575,20,41
1576,248,200
1577,308,338
1578,197,108
1579,96,224
1580,98,272
1581,211,222
1582,150,64
1583,224,67
1584,304,98
1585,310,137
1586,132,158
1587,105,21
1588,21,308
1589,219,319
1590,245,8
1591,308,7
1592,265,325
1593,315,121
1594,41,115
1595,284,281
1596,106,231
1597,169,315
1598,67,325
1599,26,55
1600,156,188
1601,101,194
1602,277,170
1603,258,188
1604,19,174
1605,304,334
1606,271,331
1607,239,67
1608,222,199
1609,332,208
1610,312,305
1611,328,218
1612,110,259
1613,170,271
1614,66,67
1615,341,188
1616,200,9
1617,199,113
1618,67,271
1619,134,67
1620,115,116
1621,94,254
1622,227,86
1623,67,26
1624,39,141
1625,118,342
1626,220,115
1627,261,297
1628,252,82
1629,189,100
1630,339,334
1631,218,275
1632,313,261
1633,101,266
1634,101,302
1635,49,192
1636,59,325
1637,169,21
1638,67,280
1639,134,252
1640,30,236
1641,322,308
1642,119,82
1643,100,217
1644,111,20
1645,122,123
1646,94,180
1647,346,300
1648,322,21
1649,293,19
1650,56,199
1651,203,56
1652,314,82
1653,158,22
1654,118,172
1655,239,169
1656,223,342
1657,184,36
1658,311,325
1659,208,291
1660,56,222
1661,239,295
1662,56,313
1663,272,277
1664,199,134
1665,9,119
1666,88,80
1667,185,280
1668,331,203
1669,310,111
1670,25,199
1671,200,113
1672,184,57
1673,72,291
1674,285,303
1675,299,92
1676,56,211
1677,322,9
1678,13,313
1679,322,276
1680,334,9
1681,5,187
1682,119,26
1683,60,291
1684,89,95
1685,9,156
1686,337,111
1687,141,304
1688,322,158
1689,28,226
1690,203,325
1691,200,276
1692,176,25
1693,7,65
1694,21,235
1695,129,291
1696,204,266
1697,252,265
1698,64,119
1699,119,125
1700,119,325
1701,73,130
1702,9,66
1703,142,109
1704,213,53
1705,271,119
1706,99,102
1707,280,105
1708,251,135
1709,312,220
1710,186,236
1711,277,98
1712,120,277
1713,26,304
1714,315,280
1715,1,92
1716,144,17
1717,239,55
1718,339,31
1719,5,315
1720,252,25
1721,125,169
1722,224,213
1723,99,23
1724,136,122
1725,236,121
1726,56,277
1727,82,170
1728,265,238
1729,41,17
1730,88,322
1731,325,304
1732,332,291
1733,313,170
1734,199,291
1735,280,122
1736,324,199
1737,188,9
1738,132,45
1739,130,25
1740,75,304
1741,291,169
1742,6,147
1743,194,254
1744,142,170
1745,21,121
1746,8,264
1747,88,303
1748,271,170
1749,48,80
1750,25,280
1751,94,92
1752,299,249
1753,175,277
1754,113,25
1755,186,128
1756,104,188
1757,302,315
1758,334,169
1759,304,272
1760,313,342
1761,203,261
1762,118,324
1763,30,329
1764,310,151
1765,303,132
1766,153,280
1767,303,285
1768,264,8
1769,105,257
1770,199,186
1771,224,9
1772,25,291
1773,104,169
1774,274,40
1775,339,313
1776,122,31
1777,308,323
1778,186,221
1779,40,315
1780,224,276
1781,161,271
1782,111,17
1783,252,186
1784,203,285
1785,189,64
1786,203,118
1787,338,308
1788,308,87
1789,280,315
1790,169,122
1791,67,128
1792,178,322
1793,156,122
1794,194,92
1795,280,142
1796,26,40
1797,307,230
1798,204,57
1799,248,119
1800,104,325
1801,186,239
1802,189,150
1803,128,252
1804,136,169
1805,132,119
1806,199,9
1807,150,189
1808,128,170
1809,239,261
1810,308,26
1811,26,69
1812,122,203
1813,36,184
1814,293,174
1815,277,159
1816,115,343
1817,41,116
1818,315,324
1819,280,239
1820,251,21
1821,26,315
1822,169,104
1823,53,213
1824,199,40
1825,109,21
1826,236,257
1827,25,277
1828,339,22
1829,186,322
1830,236,13
1831,313,118
1832,285,185
1833,332,200
1834,142,134
1835,252,315
1836,296,99
1837,36,108
1838,40,329
1839,212,232
1840,217,64
1841,53,101
1842,170,200
1843,118,199
1844,122,200
1845,271,236
1846,130,257
1847,118,65
1848,322,257
1849,75,67
1850,161,277
1851,291,158
1852,77,332
1853,143,68
1854,3,67
1855,297,65
1856,342,118
1857,167,32
1858,214,137
1859,132,315
1860,26,298
1861,98,141
1862,64,189
1863,259,110
1864,19,214
1865,25,200
1866,265,298
1867,24,101
1868,119,13
1869,238,211
1870,56,231
1871,75,56
1872,143,225
1873,234,239
1874,330,204
1875,172,261
1876,62,170
1877,345,186
1878,127,251
1879,25,88
1880,304,75
1881,136,308
1882,38,248
1883,261,314
1884,186,188
1885,200,271
1886,56,342
1887,200,285
1888,200,26
1889,9,170
1890,122,261
1891,105,236
1892,4,152
1893,204,329
1894,139,251
1895,62,223
1896,40,72
1897,285,196
1898,96,213
1899,118,13
1900,91,245
1901,26,276
1902,158,142
1903,315,329
1904,271,185
1905,67,104
1906,200,280
1907,180,24
1908,101,53
1909,115,41
1910,185,25
1911,13,67
1912,213,315
1913,68,227
1914,186,323
1915,213,128
1916,67,213
1917,214,41
1918,9,342
1919,252,199
1920,24,299
1921,318,123
1922,92,204
1923,122,25
1924,297,252
1925,100,269
1926,56,72
1927,261,211
1928,322,75
1929,122,55
1930,154,219
1931,236,303
1932,75,323
1933,26,161
1934,21,236
1935,249,304
1936,344,185
1937,344,212
1938,14,28
1939,13,252
1940,178,303
1941,211,103
1942,60,239
1943,186,104
1944,203,342
1945,8,259
1946,271,199
1947,342,165
1948,82,314
1949,7,322
1950,322,242
1951,123,26
1952,211,342
1953,13,82
1954,187,346
1955,322,329
1956,113,313
1957,261,122
1958,104,203
1959,198,166
1960,142,56
1961,116,144
1962,295,26
1963,169,185
1964,211,285
1965,344,67
1966,84,237
1967,329,16
1968,122,303
1969,53,249
1970,122,56
1971,67,13
1972,82,199
1973,48,330
1974,346,130
1975,40,169
1976,109,203
1977,152,275
1978,59,250
1979,68,143
1980,180,242
1981,296,175
1982,101,330
1983,165,113
1984,126,260
1985,21,271
1986,17,41
1987,82,59
1988,342,261
1989,297,56
1990,142,334
1991,291,87
1992,342,314
1993,178,231
1994,109,303
1995,128,213
1996,72,272
1997,342,277
1998,321,175
1999,271,176
2000,144,116
2001,48,180
2002,322,104
2003,298,271
2004,21,281
2005,67,277
2006,343,19
2007,221,303
2008,134,304
2009,132,303
2010,304,122
2011,285,221
2012,315,302
2013,304,56
2014,26,128
2015,204,242
2016,32,167
2017,41,144
2018,101,204
2019,182,97
2020,111,214
2021,261,118
2022,329,27
2023,295,9
2024,148,339
2025,346,53
2026,88,1
2027,67,344
2028,172,199
2029,188,277
2030,197,284
2031,103,56
2032,185,297
2033,213,122
2034,53,266
2035,101,94
2036,67,72
2037,266,101
2038,315,56
2039,280,291
2040,304,67
2041,20,312
2042,332,16
2043,252,122
2044,9,113
2045,79,188
2046,26,118
2047,56,40
2048,277,213
2049,330,266
2050,204,80
2051,13,239
2052,113,325
2053,211,29
2054,141,40
2055,118,56
2056,91,259
2057,280,67
2058,94,300
2059,67,21
2060,137,214
2061,50,203
2062,168,291
2063,31,83
2064,196,92
2065,213,161
2066,254,204
2067,303,122
2068,227,102
2069,291,252
2070,186,142
2071,331,16
2072,277,26
2073,312,44
2074,93,310
2075,196,346
2076,266,254
2077,148,272
2078,13,342
2079,169,332
2080,4,195
2081,80,299
2082,26,98
2083,127,139
2084,223,200
2085,113,72
2086,213,40
2087,204,346
2088,113,172
2089,261,345
2090,303,345
2091,309,127
2092,165,169
2093,236,272
2094,103,98
2095,310,167
2096,227,296
2097,325,268
2098,332,252
2099,285,304
2100,186,213
2101,239,25
2102,169,277
2103,334,188
2104,134,203
2105,89,319
2106,325,223
2107,119,50
2108,329,308
2109,79,26
2110,336,25
2111,9,79
2112,261,98
2113,21,272
2114,314,50
2115,106,88
2116,140,17
2117,299,254
2118,82,261
2119,203,334
2120,19,17
2121,26,236
2122,170,285
2123,161,199
2124,104,113
2125,1,280
2126,232,224
2127,39,121
2128,53,24
2129,277,291
2130,169,5
2131,67,134
2132,346,92
2133,322,250
2134,322,339
2135,45,142
2136,277,334
2137,141,62
2138,1,119
2139,115,326
2140,189,119
